building,count
bldg0,43358
bldg1,699401
bldg2,844620
bldg3,19463
bldg4,403497
bldg5,977647
bldg6,10456
bldg7,603594
bldg8,197816
bldg9,1002510
bldg10,176499
bldg11,621720
bldg12,217557
bldg13,1590487
bldg14,954907
bldg15,134328
bldg16,674089
bldg17,4601987
bldg18,86150
bldg19,687688
bldg20,62455
bldg21,519925
bldg22,128422
bldg23,88643
bldg24,1169025
bldg25,22970
bldg26,583731
bldg27,1704912
bldg28,123960
bldg29,719306
bldg30,54764
bldg31,121795
bldg32,1789417
bldg33,266832
bldg34,812728
bldg35,4
bldg36,1764883
bldg37,910301
bldg38,40759
bldg39,1082199
bldg40,444711
bldg41,65670
bldg42,116416
bldg43,27683
bldg44,5005
