building,function,lat,long
bldg1,Service center,59.34677,18.07293
bldg10,school of electronic & PDC Center for High Performance Computing,59.34755,18.07298
bldg11,"visualization studio,lecture hall and computer room",59.34736,18.07484
bldg12,school of electronic & PDC Center for High Performance Computing,59.34767,18.07313
bldg13,"visualization studio,lecture hall and computer room",59.34741,18.07504
bldg13,school entrence and restaurant & information center,59.34753,18.07173
bldg14,school of electronic & PDC Center for High Performance Computing,59.34756,18.07324
bldg15,"visualization studio,lecture hall and computer room",59.34752,18.07459
bldg16, School of Mechanics,59.34785,18.0735
bldg17,"visualization studio,lecture hall and computer room",59.34732,18.07441
bldg18,School of Mechanics,59.348,18.07342
bldg18,School of Industrial Engineering and Management,59.348,18.07342
bldg19,School of Engineering & school of math,59.34771,18.07469
bldg2,Service center,59.3469,18.07254
bldg21,library & meal & coffee,59.34806,18.07142
bldg21,library & Department of Media Technology,59.34806,18.07142
bldg22,"KTH Speech, Music and Hearing",59.34816,18.07478
bldg23,School of Engineering & school of math,59.34769,18.07536
bldg23,library & meal & coffee,59.34789,18.07172
bldg24,"KTH Speech, Music and Hearing",59.34832,18.07477
bldg25,School of Engineering & school of math,59.34785,18.07463
bldg25,library & meal & coffee,59.3477,18.07227
bldg26,Institute of Chemistry room,59.34853,18.07448
bldg27, School of Mechanics,59.348,18.07379
bldg28,Institute of Chemistry room,59.34855,18.07423
bldg28,School of Industrial Engineering and Management,59.34901,18.07502
bldg29,School of Electrical Engineering and Computer Science (EECS),59.34976,18.07232
bldg3,Service center,59.34695,18.07327
bldg30,Institute of Chemistry room,59.34833,18.0741
bldg30,School of Industrial Engineering and Management,59.3491,18.07454
bldg31,library & meal & coffee,59.34756,18.07271
bldg31,School of Electrical Engineering and Computer Science (EECS),59.34945,18.07274
bldg32,Institute of Chemistry room,59.34906,18.07401
bldg33,library & meal & coffee,59.3481,18.07317
bldg33,School of Electrical Engineering and Computer Science (EECS),59.3495,18.07345
bldg34,Institute of Chemistry room,59.34877,18.07385
bldg35,School of Electrical Engineering and Computer Science (EECS),59.35014,18.07327
bldg36,Institute of Chemistry room,59.34923,18.07436
bldg38,Institute of Chemistry &Greenhouse Labs ,59.34945,18.07501
bldg38,Institute of Chemical Engineering &School of Chemical Science & Institute of Fiber & Polymer Technology,59.34945,18.07501
bldg39, opera collage,59.35026,18.07259
bldg4,Service center,59.34698,18.0726
bldg4,school entrence and restaurant & information center,59.34688,18.07224
bldg40,Institute of Chemical Engineering &School of Chemical Science & Institute of Fiber & Polymer Technology,59.34953,18.075
bldg41,School of Electrical Engineering and Computer Science (EECS),59.34953,18.07269
bldg42,Institute of Chemical Engineering &School of Chemical Science & Institute of Fiber & Polymer Technology,59.34951,18.07422
bldg44,Institute of Chemical Engineering &School of Chemical Science & Institute of Fiber & Polymer Technology,59.34957,18.07473
bldg46,Institute of Chemical Engineering &School of Chemical Science & Institute of Fiber & Polymer Technology,59.34974,18.07495
bldg48,Institute of Chemical Engineering &School of Chemical Science & Institute of Fiber & Polymer Technology,59.34988,18.07482
bldg5,Research Support Office,59.34689,18.07355
bldg6,school entrence and restaurant & information center,59.34714,18.07272
bldg7,Research Support Office,59.34664,18.07352
bldg8,school of electronic & PDC Center for High Performance Computing,59.34743,18.07294
bldg9,Research Support Office,59.34682,18.07416
